Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Game A,X360,2007,RPG,EA,5.08,2.22,1.96,2.86,8.54
2,Game B,Switch,2012,Shooter,Sony,6.65,7.41,1.5,0.85,16.08
3,Game C,WiiU,2000,Sports,Activision,6.68,1.77,4.29,0.75,21.79
4,Game D,PC,2022,Action,Activision,13.47,3.17,4.61,1.8,3.24
5,Game E,PS4,2014,Action,EA,14.05,2.36,1.91,2.19,9.86
6,Game F,WiiU,2022,Puzzle,Nintendo,10.42,2.31,4.61,1.81,21.81
7,Game G,PC,2008,Action,EA,4.14,0.81,0.11,1.38,19.56
8,Game H,Switch,2010,Puzzle,Activision,4.49,1.04,3.82,2.49,16.98
9,Game I,X360,2007,Shooter,EA,3.01,9.62,3.8,1.2,15.64
10,Game J,PC,2012,Sports,Ubisoft,6.81,6.67,3.6,2.03,10.14
11,Game K,PS4,2015,Sports,Nintendo,2.65,7.49,2.17,2.7,4.25
12,Game L,PC,2023,Shooter,EA,12.92,8.19,1.52,1.58,15.27
13,Game M,PC,2005,Action,Activision,9.81,5.78,1.68,2.4,13.25
14,Game N,Switch,2014,Sports,EA,13.01,4.34,4.86,1.25,24.99
15,Game O,PS4,2022,Action,Ubisoft,9.12,4.23,3.43,0.94,13.15
16,Game P,PC,2001,Sports,EA,3.19,7.0,3.83,0.52,15.79
17,Game Q,Switch,2017,RPG,Ubisoft,9.84,9.85,3.69,2.95,20.37
18,Game R,X360,2014,RPG,Nintendo,7.17,5.19,1.91,2.24,21.86
19,Game S,Switch,2009,Puzzle,Activision,3.99,1.94,4.56,2.38,20.34
20,Game T,X360,2021,Shooter,EA,8.98,6.68,1.37,0.44,7.71
21,Game U,X360,2006,Action,Nintendo,6.19,6.45,0.86,0.96,15.62
22,Game V,X360,2023,Shooter,Sony,3.11,9.36,3.64,2.16,3.13
23,Game W,X360,2008,Action,EA,11.84,7.33,0.92,1.12,21.46
24,Game X,X360,2018,Action,Sony,1.01,8.98,3.61,2.46,4.75
25,Game Y,PC,2000,RPG,Nintendo,7.58,8.78,2.9,0.73,24.19
26,Game Z,X360,2018,Puzzle,EA,12.49,3.35,0.95,0.88,18.95
27,Game [,PC,2019,Sports,EA,2.09,2.46,0.25,2.41,23.93
28,Game \,X360,2020,Sports,Sony,5.93,6.54,0.5,1.28,15.6
29,Game ],PS4,2000,RPG,Activision,3.45,4.8,2.79,1.0,5.72
30,Game ^,Switch,2007,Shooter,Ubisoft,12.7,2.03,2.42,1.67,22.7
31,Game _,PC,2015,Puzzle,Nintendo,4.18,9.26,4.13,1.2,6.75
32,Game `,Switch,2017,Puzzle,Sony,14.46,3.83,2.32,1.45,19.73
33,Game a,PS4,2012,Shooter,Activision,1.32,8.24,0.3,2.92,15.21
34,Game b,X360,2020,Shooter,Ubisoft,12.76,6.46,4.49,1.25,23.77
35,Game c,WiiU,2004,Sports,Sony,13.19,5.86,4.32,0.21,17.35
36,Game d,X360,2018,RPG,Ubisoft,4.01,2.02,4.16,2.02,23.79
37,Game e,PC,2003,Action,Activision,12.42,3.71,2.69,0.83,18.39
38,Game f,X360,2016,Puzzle,Nintendo,14.22,2.79,4.44,0.15,2.4
39,Game g,X360,2004,Sports,Nintendo,9.06,1.92,2.64,1.83,5.38
40,Game h,Switch,2015,Action,Sony,11.07,7.4,0.9,1.62,15.55
41,Game i,WiiU,2003,Sports,EA,14.08,9.82,1.94,1.07,14.82
42,Game j,PC,2012,Puzzle,Activision,9.7,8.74,3.71,2.63,23.08
43,Game k,PC,2019,Sports,Ubisoft,1.03,5.23,0.66,0.11,10.41
44,Game l,X360,2021,RPG,Ubisoft,7.21,7.81,4.08,2.02,9.32
45,Game m,WiiU,2016,RPG,Nintendo,4.39,6.7,0.61,2.02,22.76
46,Game n,WiiU,2002,Sports,EA,1.99,3.04,2.77,1.94,6.23
47,Game o,X360,2005,Action,Activision,2.28,8.62,2.96,1.06,11.35
48,Game p,WiiU,2013,Action,EA,10.66,6.0,2.26,0.81,5.79
49,Game q,X360,2008,Shooter,Activision,9.8,5.51,0.93,2.54,4.78
50,Game r,PS4,2000,Sports,Activision,8.25,4.44,4.57,2.68,9.17
